Time,AccelX,AccelY,AccelZ
6732,1.02,0.07,-0.35
6746,1.00,0.07,-0.32
6760,1.03,0.06,-0.40
6771,1.00,0.04,-0.37
6782,1.02,0.09,-0.34
6794,1.00,0.06,-0.34
6805,1.00,0.07,-0.35
6817,1.00,0.04,-0.34
6828,1.00,0.07,-0.37
6842,1.02,0.07,-0.35
6853,1.02,0.07,-0.34
6868,1.02,0.06,-0.35
6879,1.00,0.06,-0.35
6894,1.00,0.06,-0.34
6908,1.02,0.07,-0.34
6920,1.00,0.07,-0.37
6934,1.00,0.06,-0.35
6948,1.02,0.07,-0.35
6959,1.02,0.07,-0.34
6971,1.00,0.07,-0.34
6985,1.02,0.06,-0.34
6996,1.02,0.06,-0.34
7012,1.02,0.06,-0.34
7026,1.02,0.06,-0.34
7038,1.00,0.06,-0.35
7049,1.02,0.07,-0.35
7061,1.00,0.06,-0.35
7072,1.02,0.07,-0.35
7087,1.00,0.06,-0.34
7098,1.02,0.06,-0.35
7112,1.00,0.06,-0.35
7124,1.00,0.07,-0.34
7140,1.00,0.06,-0.32
7151,1.02,0.06,-0.35
7163,1.02,0.06,-0.34
7175,1.02,0.07,-0.34
7190,1.02,0.07,-0.35
7204,1.00,0.07,-0.34
7216,1.00,0.06,-0.34
7230,1.00,0.06,-0.34
7241,1.02,0.07,-0.34
7256,1.00,0.06,-0.34
7267,1.00,0.07,-0.34
7279,1.02,0.06,-0.34
7290,1.00,0.06,-0.34
7302,1.02,0.06,-0.34
7316,1.02,0.06,-0.34
7328,1.00,0.07,-0.35
7344,1.02,0.07,-0.32
7355,1.00,0.06,-0.34
7368,1.02,0.07,-0.35
7379,1.00,0.07,-0.34
7391,1.00,0.06,-0.34
7402,1.00,0.06,-0.35
7413,1.02,0.07,-0.32
7427,1.00,0.07,-0.34
7439,1.00,0.06,-0.34
7453,0.96,0.09,-0.32
7464,1.03,0.06,-0.32
7480,1.02,0.04,-0.34
7494,1.02,0.07,-0.31
7505,1.03,0.09,-0.31
7519,1.02,0.06,-0.29
7532,1.02,0.07,-0.29
7544,1.03,0.07,-0.29
7555,1.02,0.09,-0.29
7566,1.03,0.09,-0.25
7578,1.03,0.09,-0.26
7589,1.06,0.09,-0.32
7601,0.98,0.09,-0.26
7615,1.02,0.07,-0.18
7626,1.05,0.07,-0.26
7640,1.02,0.07,-0.25
7652,1.03,0.09,-0.23
7667,1.00,0.07,-0.21
7681,1.02,0.09,-0.21
7692,1.03,0.09,-0.21
7706,1.02,0.09,-0.20
7720,1.03,0.09,-0.23
7731,1.02,0.09,-0.14
7742,1.05,0.09,-0.21
7754,1.03,0.09,-0.17
7765,1.03,0.09,-0.17
7778,1.02,0.12,-0.17
7792,1.03,0.10,-0.17
7803,1.05,0.10,-0.18
7817,1.05,0.10,-0.15
7829,1.03,0.12,-0.14
7843,1.05,0.10,-0.14
7854,1.05,0.12,-0.15
7868,1.05,0.10,-0.15
7880,1.03,0.10,-0.15
7894,1.03,0.10,-0.15
7907,1.03,0.12,-0.15
7918,1.03,0.09,-0.17
7930,1.05,0.09,-0.17
7941,1.06,0.10,-0.17
7952,1.05,0.10,-0.15
7965,1.02,0.12,-0.15
7976,1.03,0.09,-0.15
7988,1.05,0.10,-0.17
7999,1.05,0.10,-0.14
8011,1.05,0.10,-0.14
8022,1.03,0.12,-0.14
8034,1.03,0.10,-0.12
8045,1.03,0.10,-0.15
8061,1.06,0.10,-0.15
8075,1.03,0.10,-0.15
8088,1.03,0.12,-0.15
8100,1.03,0.12,-0.15
8111,1.03,0.10,-0.17
8126,1.05,0.10,-0.15
8137,1.05,0.10,-0.15
8151,1.03,0.10,-0.15
8163,1.02,0.10,-0.17
8177,1.03,0.12,-0.15
8189,1.03,0.12,-0.15
8203,1.06,0.10,-0.15
8215,1.03,0.10,-0.17
8229,1.03,0.12,-0.15
8240,1.03,0.12,-0.17
8255,1.05,0.09,-0.15
8266,1.05,0.10,-0.15
8280,1.03,0.12,-0.14
8294,1.03,0.09,-0.17
8306,1.03,0.10,-0.15
8321,1.03,0.12,-0.18
8332,1.03,0.10,-0.17
8344,1.05,0.10,-0.15
8356,1.03,0.12,-0.15
8368,1.03,0.12,-0.17
8379,1.03,0.12,-0.18
8391,1.03,0.10,-0.15
8402,1.05,0.10,-0.15
8414,1.03,0.12,-0.17
8425,1.05,0.12,-0.15
8437,1.03,0.10,-0.17
8451,1.03,0.12,-0.17
8463,1.03,0.10,-0.17
8479,1.03,0.10,-0.15
8490,1.05,0.12,-0.15
8502,1.03,0.12,-0.18
8514,1.03,0.14,-0.17
8528,1.05,0.10,-0.15
8539,1.05,0.12,-0.17
8554,1.05,0.12,-0.15
8565,1.03,0.10,-0.15
8579,1.05,0.12,-0.18
8591,1.03,0.10,-0.17
8605,1.03,0.12,-0.18
8617,1.03,0.10,-0.17
8631,1.05,0.12,-0.15
8643,1.03,0.12,-0.17
8655,1.03,0.10,-0.14
8669,1.03,0.12,-0.18
8681,1.03,0.10,-0.18
8692,1.03,0.10,-0.17
8706,1.03,0.12,-0.17
8718,1.03,0.12,-0.18
8732,1.03,0.10,-0.18
8743,1.05,0.12,-0.17
8757,1.03,0.10,-0.18
8768,1.03,0.12,-0.17
8783,1.05,0.12,-0.15
8794,1.05,0.09,-0.17
8808,1.02,0.10,-0.17
8819,1.05,0.12,-0.17
8834,1.05,0.10,-0.18
8845,1.05,0.12,-0.18
8861,1.03,0.14,-0.17
8872,1.03,0.12,-0.18
8884,1.03,0.14,-0.18
8895,1.03,0.09,-0.20
8906,1.03,0.10,-0.18
8918,1.05,0.12,-0.18
8929,1.03,0.10,-0.17
8941,1.05,0.10,-0.17
8953,1.03,0.10,-0.17
8964,1.03,0.10,-0.17
8976,1.03,0.12,-0.17
8990,1.03,0.10,-0.18
9001,1.03,0.12,-0.20
9015,1.03,0.10,-0.18
9028,1.03,0.10,-0.20
9039,1.03,0.12,-0.18
9052,1.05,0.09,-0.18
9063,1.03,0.12,-0.18
9075,1.03,0.14,-0.17
9086,1.03,0.12,-0.18
9098,1.05,0.10,-0.17
9109,1.03,0.10,-0.17
9120,1.03,0.10,-0.18
9132,1.02,0.12,-0.20
9146,1.03,0.09,-0.18
9157,1.05,0.12,-0.18
9171,1.05,0.12,-0.20
9183,1.03,0.12,-0.20
9197,1.02,0.12,-0.20
9208,1.03,0.10,-0.23
9223,1.05,0.10,-0.21
9239,1.03,0.10,-0.21
9251,1.03,0.10,-0.21
9262,1.02,0.12,-0.28
9274,1.02,0.12,-0.25
9288,1.03,0.10,-0.17
9300,1.03,0.12,-0.23
9314,1.03,0.10,-0.25
9325,1.03,0.07,-0.23
9340,1.03,0.07,-0.28
9351,0.95,0.10,-0.29
9365,1.13,0.04,-0.18
9378,1.00,0.18,-0.18
9390,1.05,0.10,-0.14
9401,1.02,0.10,-0.25
9413,0.96,0.07,-0.23
9426,1.02,0.12,-0.26
9437,1.00,0.07,-0.25
9449,1.03,0.09,-0.26
9461,1.03,0.09,-0.23
9472,1.05,0.10,-0.23
9487,1.06,0.14,-0.23
9498,1.03,0.10,-0.23
9516,1.05,0.10,-0.23
9527,1.03,0.10,-0.23
9542,1.05,0.09,-0.23
9553,1.03,0.10,-0.28
9565,1.03,0.09,-0.23
9577,1.03,0.10,-0.25
9588,1.03,0.09,-0.25
9600,1.02,0.10,-0.26
9614,1.02,0.10,-0.25
9625,1.03,0.10,-0.26
9637,1.03,0.10,-0.26
9649,1.03,0.10,-0.25
9660,1.03,0.10,-0.23
9672,1.03,0.09,-0.25
9684,1.03,0.10,-0.26
9696,1.03,0.09,-0.26
9707,1.02,0.10,-0.28
9720,1.03,0.10,-0.25
9732,1.02,0.10,-0.25
9743,1.03,0.10,-0.28
9757,1.03,0.10,-0.26
9769,1.02,0.10,-0.25
9783,1.03,0.09,-0.26
9795,1.03,0.09,-0.23
9809,1.02,0.10,-0.26
9823,1.02,0.10,-0.26
9835,1.03,0.09,-0.25
9849,1.02,0.10,-0.28
9861,1.03,0.09,-0.25
9875,1.03,0.10,-0.26
9887,1.03,0.10,-0.23
9901,1.02,0.10,-0.25
9912,1.03,0.09,-0.26
9927,1.03,0.10,-0.25
9938,1.02,0.10,-0.25
9952,1.03,0.12,-0.26
9964,1.02,0.09,-0.25
9978,1.03,0.10,-0.26
9990,1.03,0.10,-0.26
10006,1.03,0.10,-0.26
10017,1.03,0.10,-0.25
10029,1.03,0.10,-0.25
10040,1.03,0.09,-0.26
10054,1.02,0.10,-0.26
10066,1.03,0.09,-0.25
10080,1.03,0.09,-0.26
10093,1.03,0.10,-0.25
10105,1.02,0.10,-0.26
10117,1.03,0.10,-0.25
10131,1.03,0.09,-0.25
10142,1.03,0.09,-0.26
10156,1.02,0.10,-0.26
10168,1.02,0.12,-0.25
10182,1.02,0.10,-0.26
10195,1.03,0.09,-0.25
10206,1.02,0.10,-0.25
10218,1.03,0.09,-0.25
10229,1.03,0.10,-0.25
10240,1.02,0.09,-0.23
10252,1.03,0.09,-0.25
10263,1.03,0.09,-0.23
10277,1.02,0.09,-0.26
10289,1.03,0.10,-0.25
10303,1.03,0.12,-0.25
10314,1.03,0.09,-0.25
10328,1.03,0.10,-0.25
10340,1.02,0.10,-0.25
10354,1.03,0.09,-0.25
10365,1.03,0.09,-0.25
10382,1.02,0.09,-0.25
10393,1.03,0.12,-0.26
10405,1.03,0.09,-0.25
10416,1.03,0.09,-0.26
10428,1.03,0.10,-0.23
10440,1.03,0.10,-0.26
10451,1.03,0.09,-0.26
10463,1.03,0.10,-0.25
10474,1.03,0.10,-0.25
10485,1.03,0.10,-0.25
10500,1.03,0.10,-0.25
10511,1.02,0.12,-0.25
10525,1.03,0.09,-0.26
10536,1.03,0.09,-0.23
10551,1.03,0.09,-0.26
10562,1.03,0.10,-0.28
10578,1.02,0.09,-0.25
10589,1.00,0.09,-0.23
10601,1.02,0.09,-0.26
10612,1.05,0.10,-0.26
10626,1.03,0.12,-0.25
10638,1.02,0.09,-0.25
10653,1.02,0.10,-0.26
10667,1.02,0.09,-0.26
10678,1.03,0.10,-0.26
10693,1.03,0.09,-0.26
10704,1.02,0.09,-0.26
10718,1.02,0.12,-0.25
10729,1.06,0.07,-0.26
10744,1.00,0.29,0.01
10755,1.06,-0.03,-0.12
10771,0.98,0.20,-0.25
10783,0.98,-0.03,-0.25
10795,1.02,0.03,-0.35
10807,1.03,0.04,-0.50
10818,1.02,0.07,-0.45
10830,1.02,0.07,-0.37
10841,0.98,0.07,-0.42
10853,1.02,0.10,-0.43
10864,1.02,0.09,-0.29
10876,0.79,0.31,-0.43
10890,1.02,-0.26,-0.39
10902,1.11,0.14,-0.03
10916,0.95,0.09,-0.07
10928,1.08,0.04,-0.40
10940,1.06,0.10,-0.23
10953,1.03,0.15,-0.17
10964,1.02,0.10,-0.26
10976,1.02,0.09,-0.26
10987,1.05,0.07,-0.21
11001,1.00,0.09,-0.26
11013,1.00,0.09,-0.23
11027,1.03,0.10,-0.26
11038,1.02,0.68,1.14
11052,1.30,0.00,-0.92
11065,0.95,0.50,-0.68
11076,0.95,-0.21,-0.01
11088,0.93,0.17,-0.42
11099,1.00,0.07,-0.57
11113,1.08,0.04,-0.43
11124,0.98,0.15,-0.42
11140,1.02,-0.10,-0.32
11152,1.08,-0.04,-0.23
11163,1.11,0.25,0.20
11175,1.02,0.14,-0.07
11189,1.19,0.09,-0.37
11200,1.03,0.09,-0.20
11214,1.05,0.18,-0.10
11226,1.06,0.10,-0.23
11240,1.03,0.10,-0.21
11251,0.98,0.09,-0.21
11265,1.00,0.07,-0.28
11277,1.63,-0.53,-0.18
11291,1.23,-0.39,-1.67
11302,1.19,0.43,-0.51
11316,0.82,-0.04,0.20
11328,0.92,0.25,-0.42
11344,1.08,0.01,-0.40
11356,0.95,0.15,-0.25
11367,0.93,-0.03,-0.31
11379,1.03,0.20,0.01
11390,1.05,0.12,-0.12
11402,1.05,0.09,-0.29
11413,1.05,0.09,-0.21
11427,1.03,0.14,-0.18
11438,1.03,0.10,-0.25
11453,1.03,0.09,-0.25
11464,1.03,0.09,-0.23
11478,1.05,0.09,-0.23
11491,1.03,0.10,-0.23
11502,1.00,0.09,-0.23
11514,0.96,0.09,-0.25
11527,1.98,-1.70,-1.53
11538,1.41,-0.43,-1.89
11550,1.25,0.39,-1.23
11564,0.82,-0.10,0.35
11576,0.89,0.17,-0.29
11590,1.03,0.09,-0.73
11602,1.02,0.14,-0.53
11616,0.90,-0.23,-0.12
11627,0.98,0.00,-0.09
11642,0.98,0.18,0.00
11654,1.08,0.07,-0.35
11666,1.06,0.03,-0.32
11677,1.06,0.15,-0.10
11689,1.06,0.12,-0.17
11700,1.03,0.09,-0.25
11714,1.02,0.07,-0.21
11725,1.00,0.10,-0.25
11737,0.48,1.41,1.98
11748,0.25,0.01,-0.01
11764,1.31,0.18,-1.31
11778,0.76,0.00,-0.14
11789,0.85,0.12,-0.34
11804,1.09,0.10,-0.67
11815,1.06,0.14,-0.68
11829,0.85,0.29,-0.50
11841,0.98,-0.40,-0.15
11855,1.09,0.12,0.31
11867,0.92,0.20,-0.03
11881,1.03,0.01,-0.48
11893,1.11,0.14,-0.28
11909,1.02,0.12,-0.14
11920,1.05,0.09,-0.25
11932,1.00,0.10,-0.25
11944,0.70,1.03,1.16
11956,1.39,-0.95,-0.43
11967,1.36,-0.14,-1.33
11979,1.14,0.21,-0.73
11990,0.95,-0.01,-0.20
12002,0.89,0.07,-0.43
12014,0.96,0.15,-0.68
12028,1.14,0.10,-0.59
12040,0.79,0.26,-0.68
12052,0.95,0.09,-0.65
12063,0.93,-0.35,-0.09
12075,1.06,0.15,0.50
12088,0.85,0.26,0.07
12100,1.08,-0.04,-0.50
12111,1.13,0.17,-0.46
12123,1.00,0.10,-0.14
12134,1.03,0.15,-0.10
12149,1.03,0.07,-0.29
12160,1.06,0.10,-0.25
12175,1.03,0.09,-0.18
12186,1.00,0.09,-0.26
12200,1.00,0.07,-0.25
12213,1.03,0.10,-0.23
12224,1.02,0.09,-0.23
12236,1.03,0.10,-0.25
12247,1.05,0.10,-0.23
12259,1.03,0.09,-0.23
12272,1.03,0.10,-0.23
12284,1.05,0.09,-0.21
12295,1.02,0.09,-0.23
12308,1.03,0.09,-0.21
12319,1.02,0.10,-0.25
12331,1.03,0.09,-0.21
12342,1.02,0.09,-0.23
12354,1.00,0.10,-0.21
12365,-1.41,1.84,1.98
12377,-0.15,-0.23,0.37
12391,1.47,0.17,-1.25
12403,1.11,0.60,-0.26
12417,1.00,-0.07,-0.25
12428,0.85,0.12,-0.23
12443,1.09,0.14,-0.64
12454,1.03,-0.09,-0.85
12470,1.02,0.07,-0.45
12482,1.02,0.09,-0.60
12493,1.00,0.23,-0.73
12505,0.95,0.10,-0.79
12520,0.93,0.03,-0.51
12534,0.79,-0.01,-0.25
12546,1.03,0.04,0.03
12560,0.98,-0.01,0.12
12571,1.02,0.06,-0.18
12587,1.03,0.14,-0.31
12601,1.02,0.06,-0.26
12612,1.05,0.12,-0.23
12627,1.03,0.15,-0.18
12643,1.06,0.09,-0.23
12657,1.02,0.12,-0.25
12670,1.03,0.09,-0.21
12682,1.03,0.09,-0.23
12693,1.03,0.09,-0.23
12708,1.03,0.09,-0.23
12719,1.03,0.09,-0.23
12731,1.03,0.10,-0.23
12742,1.02,0.09,-0.23
12754,1.03,0.10,-0.21
12768,1.05,0.10,-0.23
12780,1.05,0.09,-0.23
12794,1.03,0.09,-0.23
12805,1.00,0.10,-0.21
12821,1.03,0.09,-0.25
